1. you    Occurrences: 218
2. to    Occurrences: 142
3. i    Occurrences: 133
4. a    Occurrences: 129
5. the    Occurrences: 125
6. it    Occurrences: 115
7. and    Occurrences: 89
8. this    Occurrences: 74
9. go    Occurrences: 72
10. here    Occurrences: 65
11. what    Occurrences: 64
12. is    Occurrences: 62
13. it's    Occurrences: 58
14. me    Occurrences: 56
15. your    Occurrences: 50
16. that    Occurrences: 50
17. don't    Occurrences: 49
18. are    Occurrences: 47
19. haku    Occurrences: 47
20. be    Occurrences: 47
21. back    Occurrences: 46
22. for    Occurrences: 46
23. on    Occurrences: 45
24. of    Occurrences: 43
25. sen    Occurrences: 41
26. want    Occurrences: 41
27. no    Occurrences: 39
28. if    Occurrences: 39
29. do    Occurrences: 39
30. but    Occurrences: 38
31. come    Occurrences: 37
32. my    Occurrences: 35
33. get    Occurrences: 35
34. in    Occurrences: 35
35. up    Occurrences: 34
36. with    Occurrences: 33
37. i'm    Occurrences: 33
38. chihiro    Occurrences: 33
39. way    Occurrences: 32
40. can    Occurrences: 31
41. take    Occurrences: 29
42. just    Occurrences: 29
43. please    Occurrences: 27
44. like    Occurrences: 27
45. good    Occurrences: 27
46. work    Occurrences: 26
47. there    Occurrences: 26
48. i'll    Occurrences: 25
49. little    Occurrences: 25
50. have    Occurrences: 24
51. you're    Occurrences: 24
52. yes    Occurrences: 24
53. time    Occurrences: 23
54. from    Occurrences: 23
55. we    Occurrences: 23
56. going    Occurrences: 22
57. rin    Occurrences: 22
58. where    Occurrences: 21
59. will    Occurrences: 21
60. should    Occurrences: 21
61. he    Occurrences: 21
62. now    Occurrences: 21
63. yobaba    Occurrences: 21
64. right    Occurrences: 20
65. name    Occurrences: 20
66. okay    Occurrences: 20
67. some    Occurrences: 19
68. her    Occurrences: 19
69. make    Occurrences: 19
70. hold    Occurrences: 18
71. over    Occurrences: 18
72. dad    Occurrences: 18
73. can't    Occurrences: 17
74. out    Occurrences: 17
75. them    Occurrences: 17
76. was    Occurrences: 17
77. hurry    Occurrences: 17
