1. you    Occurrences: 237
2. to    Occurrences: 138
3. a    Occurrences: 136
4. i    Occurrences: 134
5. the    Occurrences: 120
6. it    Occurrences: 104
7. and    Occurrences: 84
8. this    Occurrences: 81
9. go    Occurrences: 74
10. here    Occurrences: 70
11. what    Occurrences: 66
12. it's    Occurrences: 62
13. me    Occurrences: 54
14. don't    Occurrences: 51
15. haku    Occurrences: 51
16. on    Occurrences: 50
17. is    Occurrences: 50
18. are    Occurrences: 48
19. sen    Occurrences: 46
20. be    Occurrences: 45
21. your    Occurrences: 43
22. of    Occurrences: 42
23. that    Occurrences: 42
24. back    Occurrences: 42
25. my    Occurrences: 40
26. come    Occurrences: 38
27. in    Occurrences: 37
28. no    Occurrences: 37
29. please    Occurrences: 36
30. have    Occurrences: 33
31. for    Occurrences: 33
32. get    Occurrences: 32
33. want    Occurrences: 31
34. do    Occurrences: 31
35. up    Occurrences: 31
36. like    Occurrences: 30
37. i'll    Occurrences: 30
38. okay    Occurrences: 30
39. now    Occurrences: 30
40. chihiro    Occurrences: 29
41. way    Occurrences: 29
42. but    Occurrences: 29
43. with    Occurrences: 29
44. if    Occurrences: 28
45. just    Occurrences: 27
46. can    Occurrences: 27
47. good    Occurrences: 26
48. i'm    Occurrences: 26
49. there    Occurrences: 25
50. work    Occurrences: 25
51. we    Occurrences: 24
52. take    Occurrences: 23
53. you're    Occurrences: 23
54. going    Occurrences: 22
55. from    Occurrences: 22
56. her    Occurrences: 22
57. yes    Occurrences: 21
58. out    Occurrences: 20
59. where    Occurrences: 20
60. name    Occurrences: 20
61. thank    Occurrences: 20
62. some    Occurrences: 19
63. dad    Occurrences: 19
64. right    Occurrences: 19
65. will    Occurrences: 19
66. that's    Occurrences: 18
67. mom    Occurrences: 18
68. should    Occurrences: 18
69. so    Occurrences: 18
70. little    Occurrences: 18
71. hurry    Occurrences: 18
72. stay    Occurrences: 18
73. time    Occurrences: 17
74. was    Occurrences: 16
75. oh    Occurrences: 16
76. eat    Occurrences: 16
77. him    Occurrences: 16
78. grandpa    Occurrences: 16
79. yobaba    Occurrences: 16
80. rin    Occurrences: 16
81. still    Occurrences: 15
82. he    Occurrences: 15
83. something    Occurrences: 15
84. them    Occurrences: 14
85. did    Occurrences: 14
86. see    Occurrences: 14
87. can't    Occurrences: 14
88. came    Occurrences: 14
89. make    Occurrences: 14
90. look    Occurrences: 13
91. too    Occurrences: 13
92. one    Occurrences: 13
93. over    Occurrences: 13
94. let's    Occurrences: 13
95. not    Occurrences: 13
96. hey    Occurrences: 13
97. isn't    Occurrences: 13
98. about    Occurrences: 13
99. she    Occurrences: 13
100. they    Occurrences: 12
101. down    Occurrences: 12
102. know    Occurrences: 12
103. give    Occurrences: 12
104. hold    Occurrences: 12
105. parents    Occurrences: 12
106. let    Occurrences: 12
107. when    Occurrences: 11
108. stop    Occurrences: 11
109. won't    Occurrences: 11
110. much    Occurrences: 11
111. he's    Occurrences: 11
112. customer    Occurrences: 11
113. again    Occurrences: 10
114. we're    Occurrences: 10
115. looks    Occurrences: 10
116. away    Occurrences: 10
117. leave    Occurrences: 10
118. really    Occurrences: 10
119. all    Occurrences: 10
120. human    Occurrences: 10
121. into    Occurrences: 10
122. job    Occurrences: 10
123. or    Occurrences: 10
124. help    Occurrences: 10
125. place    Occurrences: 9
126. find    Occurrences: 9
127. bad    Occurrences: 9
128. were    Occurrences: 9
129. why    Occurrences: 9
130. wait    Occurrences: 9
131. river    Occurrences: 9
132. you'll    Occurrences: 9
133. more    Occurrences: 9
134. kama    Occurrences: 9
135. care    Occurrences: 9
136. yobaba's    Occurrences: 9
137. gold    Occurrences: 9
138.     Occurrences: 8
139. nice    Occurrences: 8
140. been    Occurrences: 8
141. put    Occurrences: 8
142. food    Occurrences: 8
143. dream    Occurrences: 8
144. quiet    Occurrences: 8
145. sorry    Occurrences: 8
146. well    Occurrences: 8
147. umm    Occurrences: 8
148. happened    Occurrences: 8
149. lot    Occurrences: 8
150. heave    Occurrences: 8
151. baby    Occurrences: 8
152. turn    Occurrences: 7
153. our    Occurrences: 7
154. what's    Occurrences: 7
155. smell    Occurrences: 7
156. how    Occurrences: 7
157. wow    Occurrences: 7
158. even    Occurrences: 7
159. welcome    Occurrences: 7
160. haku-sama    Occurrences: 7
161. tell    Occurrences: 7
162. say    Occurrences: 7
163. since    Occurrences: 7
164. guys    Occurrences: 7
165. people    Occurrences: 7
166. doing    Occurrences: 7
167. off    Occurrences: 7
168. need    Occurrences: 7
169. who    Occurrences: 7
170. real    Occurrences: 7
171. grandma    Occurrences: 7
172. we'll    Occurrences: 6
173. new    Occurrences: 6
174. got    Occurrences: 6
175. open    Occurrences: 6
176. sit    Occurrences: 6
177. very    Occurrences: 6
178. yeah    Occurrences: 6
179. always    Occurrences: 6
180. hard    Occurrences: 6
181. soon    Occurrences: 6
182. hurt    Occurrences: 6
183. bath    Occurrences: 6
184. us    Occurrences: 6
185. world    Occurrences: 6
186. somewhere    Occurrences: 6
187. ma'am    Occurrences: 6
188. die    Occurrences: 6
189. servant    Occurrences: 6
190. might    Occurrences: 6
191. two    Occurrences: 6
192. move    Occurrences: 6
193. coming    Occurrences: 6
194. everyone    Occurrences: 6
195. return    Occurrences: 6
196. play    Occurrences: 6
197. almost    Occurrences: 5
198. only    Occurrences: 5
199. because    Occurrences: 5
200. water    Occurrences: 5
201. first    Occurrences: 5
202. they're    Occurrences: 5
203. inside    Occurrences: 5
204. must    Occurrences: 5
205. station    Occurrences: 5
206. there's    Occurrences: 5
207. great    Occurrences: 5
208. excuse    Occurrences: 5
209. at    Occurrences: 5
210. try    Occurrences: 5
211. before    Occurrences: 5
212. has    Occurrences: 5
213. deep    Occurrences: 5
214. talk    Occurrences: 5
215. forget    Occurrences: 5
216. illusion    Occurrences: 5
217. magic    Occurrences: 5
218. being    Occurrences: 5
219. keep    Occurrences: 5
220. by    Occurrences: 5
221. ahead    Occurrences: 5
222. sick    Occurrences: 5
223. had    Occurrences: 5
224. calling    Occurrences: 5
225. thorn    Occurrences: 5
226. cry    Occurrences: 5
227. school    Occurrences: 4
228. i've    Occurrences: 4
229. call    Occurrences: 4
230. wrong    Occurrences: 4
231. huh    Occurrences: 4
232. blue    Occurrences: 4
233. while    Occurrences: 4
234. an    Occurrences: 4
235. train    Occurrences: 4
236. enough    Occurrences: 4
237. maybe    Occurrences: 4
238. doesn't    Occurrences: 4
239. wonder    Occurrences: 4
240. wake    Occurrences: 4
241. through    Occurrences: 4
242. alright    Occurrences: 4
243. stand    Occurrences: 4
244. calm    Occurrences: 4
245. their    Occurrences: 4
246. after    Occurrences: 4
247. she's    Occurrences: 4
248. said    Occurrences: 4
249. would    Occurrences: 4
250. already    Occurrences: 4
251. killed    Occurrences: 4
252. contract    Occurrences: 4
253. kid    Occurrences: 4
254. follow    Occurrences: 4
255. sir    Occurrences: 4
256. stupid    Occurrences: 4
257. able    Occurrences: 4
258. ouch    Occurrences: 4
259. boy    Occurrences: 4
260. then    Occurrences: 4
261. wanted    Occurrences: 4
262. sleep    Occurrences: 4
263. yourself    Occurrences: 4
264. these    Occurrences: 4
265. ms    Occurrences: 4
266. gone    Occurrences: 4
267. eaten    Occurrences: 4
268. thought    Occurrences: 4
269. remember    Occurrences: 4
270. strong    Occurrences: 4
271. tonic    Occurrences: 4
272. day    Occurrences: 4
273. here's    Occurrences: 4
274. blood    Occurrences: 4
275. face    Occurrences: 4
276. pretty    Occurrences: 4
277. dragon    Occurrences: 4
278. curse    Occurrences: 4
279. hopefully    Occurrences: 4
