1. you    Occurrences: 222
2. i    Occurrences: 150
3. a    Occurrences: 146
4. to    Occurrences: 130
5. the    Occurrences: 118
6. it    Occurrences: 107
7. go    Occurrences: 90
8. and    Occurrences: 82
9. it's    Occurrences: 73
10. what    Occurrences: 72
11. this    Occurrences: 67
12. is    Occurrences: 67
13. your    Occurrences: 58
14. don't    Occurrences: 57
15. me    Occurrences: 57
16. sen    Occurrences: 52
17. here    Occurrences: 51
18. haku    Occurrences: 51
19. that    Occurrences: 50
20. on    Occurrences: 50
21. of    Occurrences: 48
22. are    Occurrences: 45
23. be    Occurrences: 44
24. no    Occurrences: 42
25. back    Occurrences: 42
26. get    Occurrences: 41
27. do    Occurrences: 40
28. for    Occurrences: 36
29. please    Occurrences: 35
30. my    Occurrences: 34
31. come    Occurrences: 34
32. way    Occurrences: 33
33. like    Occurrences: 33
34. there    Occurrences: 32
35. in    Occurrences: 31
36. just    Occurrences: 31
37. want    Occurrences: 28
38. okay    Occurrences: 28
39. now    Occurrences: 28
40. i'm    Occurrences: 27
41. good    Occurrences: 27
42. if    Occurrences: 26
43. can    Occurrences: 25
44. take    Occurrences: 25
45. have    Occurrences: 25
46. going    Occurrences: 25
47. chihiro    Occurrences: 25
48. with    Occurrences: 24
49. can't    Occurrences: 24
50. work    Occurrences: 24
51. up    Occurrences: 23
52. but    Occurrences: 23
53. her    Occurrences: 23
54. some    Occurrences: 22
55. should    Occurrences: 22
56. name    Occurrences: 22
57. one    Occurrences: 22
58. out    Occurrences: 22
59. oh    Occurrences: 21
60. stay    Occurrences: 21
61. from    Occurrences: 20
62. so    Occurrences: 20
63. hurry    Occurrences: 20
64. right    Occurrences: 20
65. i'll    Occurrences: 19
66. something    Occurrences: 19
67. grandpa    Occurrences: 19
68. that's    Occurrences: 18
69. yes    Occurrences: 18
70. was    Occurrences: 18
71. rin    Occurrences: 18
72. thank    Occurrences: 18
73. you're    Occurrences: 18
74. dad    Occurrences: 17
75. we    Occurrences: 17
76. little    Occurrences: 17
77. see    Occurrences: 17
78. when    Occurrences: 17
79. they    Occurrences: 16
80. too    Occurrences: 16
81. where    Occurrences: 16
82. time    Occurrences: 15
83. will    Occurrences: 15
84. let    Occurrences: 15
85. still    Occurrences: 15
86. customer    Occurrences: 14
